% ============================================================================ 
%  This file contains customized sorting keys for non decomposable characters 
%  Name     :  sort_kan_IN_strings.txt 
%  
%  Description : ELOCL.DLL for ELangkannada, ELOCL.xx 
%  Generated on : Mon Mar 26 18:41:17 2007 
%  Language : kannada 
%  Region : India 
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related 
%  computer programs, is protected by copyright controlled by 
%  Nokia Corporation. All rights are reserved. Copying, 
%  including reproducing, storing,  adapting or translating, any 
%  or all of this material requires the prior written consent of 
%  Nokia Corporation. This material also contains confidential 
%  information which may not be disclosed to others without the 
%  prior written consent of Nokia Corporation. 
%  ============================================================================  

% Modifiers  

% Vowels 
0CB5 0C82;[.07DD.0020.0002.0CB5]
0CB5 0CBC 0C82;[.07DD.0020.0008.0CB5]
0CB5 0C83;[.07DE.0020.0002.0CB5]
0CB5 0CBC 0C83;[.07DE.0020.0008.0CB5]
% RULE for base consonant 0CB5 in basekeys.txt 
0CB5 0CBC;[.07DF.0020.0008.0CB5]


0CB6 0C82;[.07E0.0020.0002.0CB6]
0CB6 0CBC 0C82;[.07E0.0020.0008.0CB6]
0CB6 0C83;[.07E1.0020.0002.0CB6]
0CB6 0CBC 0C83;[.07E1.0020.0008.0CB6]
% RULE for base consonant 0CB6 in basekeys.txt 
0CB6 0CBC;[.07E2.0020.0008.0CB6]


0CB7 0C82;[.07E3.0020.0002.0CB7]
0CB7 0CBC 0C82;[.07E3.0020.0008.0CB7]
0CB7 0C83;[.07E4.0020.0002.0CB7]
0CB7 0CBC 0C83;[.07E4.0020.0008.0CB7]
% RULE for base consonant 0CB7 in basekeys.txt 
0CB7 0CBC;[.07E5.0020.0008.0CB7]


0CB8 0C82;[.07E6.0020.0002.0CB8]
0CB8 0CBC 0C82;[.07E6.0020.0008.0CB8]
0CB8 0C83;[.07E7.0020.0002.0CB8]
0CB8 0CBC 0C83;[.07E7.0020.0008.0CB8]
% RULE for base consonant 0CB8 in basekeys.txt 
0CB8 0CBC;[.07E8.0020.0008.0CB8]


0CB9 0C82;[.07E9.0020.0002.0CB9]
0CB9 0CBC 0C82;[.07E9.0020.0008.0CB9]
0CB9 0C83;[.07EA.0020.0002.0CB9]
0CB9 0CBC 0C83;[.07EA.0020.0008.0CB9]
% RULE for base consonant 0CB9 in basekeys.txt 
0CB9 0CBC;[.07EB.0020.0008.0CB9]



% Nuktha Rule in Basekeys.txt 

% Mathras [Vowel Signs] 
0CBE 0C82;[.07ED.0020.0002.0CBE]
0CBC 0CBE 0C82;[.07ED.0020.0008.0CBE]
0CBE 0C83;[.07EE.0020.0002.0CBE]
0CBC 0CBE 0C83;[.07EE.0020.0008.0CBE]
% RULE for base consonant 0CBE in basekeys.txt 
0CBC 0CBE;[.07EF.0020.0008.0CBE]


0CBF 0C82;[.07F0.0020.0002.0CBF]
0CBC 0CBF 0C82;[.07F0.0020.0008.0CBF]
0CBF 0C83;[.07F1.0020.0002.0CBF]
0CBC 0CBF 0C83;[.07F1.0020.0008.0CBF]
% RULE for base consonant 0CBF in basekeys.txt 
0CBC 0CBF;[.07F2.0020.0008.0CBF]


0CC0 0C82;[.07F3.0020.0002.0CC0]
0CBC 0CC0 0C82;[.07F3.0020.0008.0CC0]
0CC0 0C83;[.07F4.0020.0002.0CC0]
0CBC 0CC0 0C83;[.07F4.0020.0008.0CC0]
% RULE for base consonant 0CC0 in basekeys.txt 
0CBC 0CC0;[.07F5.0020.0008.0CC0]


0CC1 0C82;[.07F6.0020.0002.0CC1]
0CBC 0CC1 0C82;[.07F6.0020.0008.0CC1]
0CC1 0C83;[.07F7.0020.0002.0CC1]
0CBC 0CC1 0C83;[.07F7.0020.0008.0CC1]
% RULE for base consonant 0CC1 in basekeys.txt 
0CBC 0CC1;[.07F8.0020.0008.0CC1]


0CC2 0C82;[.07F9.0020.0002.0CC2]
0CBC 0CC2 0C82;[.07F9.0020.0008.0CC2]
0CC2 0C83;[.07FA.0020.0002.0CC2]
0CBC 0CC2 0C83;[.07FA.0020.0008.0CC2]
% RULE for base consonant 0CC2 in basekeys.txt 
0CBC 0CC2;[.07FB.0020.0008.0CC2]


0CC3 0C82;[.07FC.0020.0002.0CC3]
0CBC 0CC3 0C82;[.07FC.0020.0008.0CC3]
0CC3 0C83;[.07FD.0020.0002.0CC3]
0CBC 0CC3 0C83;[.07FD.0020.0008.0CC3]
% RULE for base consonant 0CC3 in basekeys.txt 
0CBC 0CC3;[.07FE.0020.0008.0CC3]


0CC4 0C82;[.07FF.0020.0002.0CC4]
0CBC 0CC4 0C82;[.07FF.0020.0008.0CC4]
0CC4 0C83;[.0800.0020.0002.0CC4]
0CBC 0CC4 0C83;[.0800.0020.0008.0CC4]
% RULE for base consonant 0CC4 in basekeys.txt 
0CBC 0CC4;[.0801.0020.0008.0CC4]


0CE2 0C82;[.0802.0020.0002.0CE2]
0CBC 0CE2 0C82;[.0802.0020.0008.0CE2]
0CE2 0C83;[.0803.0020.0002.0CE2]
0CBC 0CE2 0C83;[.0803.0020.0008.0CE2]
% RULE for base consonant 0CE2 in basekeys.txt 
0CBC 0CE2;[.0804.0020.0008.0CE2]
