% ============================================================================
%  This file contains customized sorting keys for non decomposable characters
%  Name     :  SORT_eng_in_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for Indic English ELOCL.186
%  Generated on : 30.5.2006 8:22:48
%  Language : Indic English
%  Region : India
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================


2464 ; [.01CA.0050.0006.2464] % CIRCLED DIGIT FIVE : Goes after :  FULLWIDTH DIGIT FIVE
2075 ; [.01CA.0050.0014.2075] % SUPERSCRIPT FIVE : Goes after :  CIRCLED DIGIT FIVE
2085 ; [.01CA.0050.0015.2085] % SUBSCRIPT FIVE : Goes after :  SUPERSCRIPT FIVE
277A ; [.01CA.0050.0006.277A] % DINGBAT NEGATIVE CIRCLED DIGIT FIVE : Goes after :  SUBSCRIPT FIVE
2784 ; [.01CA.0050.0006.2784] % DINGBAT CIRCLED SANS-SERIF DIGIT FIVE : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT FIVE
278E ; [.01CA.0050.0006.278E] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
0665 ; [.01CA.0050.0002.0665] % ARABIC-INDIC DIGIT FIVE : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
06F5 ; [.01CA.0050.0002.06F5] % EXTENDED ARABIC-INDIC DIGIT FIVE : Goes after :  ARABIC-INDIC DIGIT FIVE
096B ; [.01CA.0040.0002.096B] % DEVANAGARI DIGIT FIVE : Goes after :  EXTENDED ARABIC-INDIC DIGIT FIVE
09EB ; [.01CA.0050.0002.09EB] % BENGALI DIGIT FIVE : Goes after :  DEVANAGARI DIGIT FIVE
0A6B ; [.01CA.0050.0002.0A6B] % GURMUKHI DIGIT FIVE : Goes after :  BENGALI DIGIT FIVE
0AEB ; [.01CA.0050.0002.0AEB] % GUJARATI DIGIT FIVE : Goes after :  GURMUKHI DIGIT FIVE
0B6B ; [.01CA.0050.0002.0B6B] % ORIYA DIGIT FIVE : Goes after :  GUJARATI DIGIT FIVE
0BEB ; [.01CA.0050.0002.0BEB] % TAMIL DIGIT FIVE : Goes after :  ORIYA DIGIT FIVE
0C6B ; [.01CA.0050.0002.0C6B] % TELUGU DIGIT FIVE : Goes after :  TAMIL DIGIT FIVE
0CEB ; [.01CA.0050.0002.0CEB] % KANNADA DIGIT FIVE : Goes after :  TELUGU DIGIT FIVE
0D6B ; [.01CA.0050.0002.0D6B] % MALAYALAM DIGIT FIVE : Goes after :  KANNADA DIGIT FIVE
0E55 ; [.01CA.0050.0002.0E55] % THAI DIGIT FIVE : Goes after :  MALAYALAM DIGIT FIVE
0ED5 ; [.01CA.0050.0002.0ED5] % LAO DIGIT FIVE : Goes after :  THAI DIGIT FIVE
0F25 ; [.01CA.0050.0002.0F25] % TIBETAN DIGIT FIVE : Goes after :  LAO DIGIT FIVE
3025 ; [.01CA.0050.0002.3025] % HANGZHOU NUMERAL FIVE : Goes after :  TIBETAN DIGIT FIVE
0036 ; [.01CB.0050.0002.0036] % DIGIT SIX : Goes after :  HANGZHOU NUMERAL FIVE
FF16 ; [.01CB.0050.0003.FF16] % FULLWIDTH DIGIT SIX : Goes after :  DIGIT SIX
2465 ; [.01CB.0050.0006.2465] % CIRCLED DIGIT SIX : Goes after :  FULLWIDTH DIGIT SIX
2076 ; [.01CB.0050.0014.2076] % SUPERSCRIPT SIX : Goes after :  CIRCLED DIGIT SIX
2086 ; [.01CB.0050.0015.2086] % SUBSCRIPT SIX : Goes after :  SUPERSCRIPT SIX
277B ; [.01CB.0050.0006.277B] % DINGBAT NEGATIVE CIRCLED DIGIT SIX : Goes after :  SUBSCRIPT SIX
