% ============================================================================
%  |||| This file is generated by UCAMaker ||||
%  It contains customized sorting keys for non decomposable characters
%  Name     :  col_hi_IN_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for ELangHindi, ELOCL.58
%  Generated on : 1.12.2005 13:52:09
%  Language : Hindi
%  Region : India
%
%  Copyright ©2005 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================



0937 ; [.0B7D.0020.0002.0937] % DEVANAGARI LETTER SSA : Goes after :  DEVANAGARI LETTER SHA
0938 ; [.0B7F.0020.0002.0938] % DEVANAGARI LETTER SA : Goes after :  DEVANAGARI LETTER SSA
0939 ; [.0B81.0020.0002.0939] % DEVANAGARI LETTER HA : Goes after :  DEVANAGARI LETTER SA
093C ; [.0B83.00D0.0002.093C] % DEVANAGARI SIGN NUKTA : Goes after :  DEVANAGARI LETTER HA
093E ; [.0B84.0020.0002.093E] % DEVANAGARI VOWEL SIGN AA : Goes after :  DEVANAGARI SIGN NUKTA
093F ; [.0B85.0020.0002.093F] % DEVANAGARI VOWEL SIGN I : Goes after :  DEVANAGARI VOWEL SIGN AA
0940 ; [.0B86.0020.0002.0940] % DEVANAGARI VOWEL SIGN II : Goes after :  DEVANAGARI VOWEL SIGN I
0941 ; [.0B87.0020.0002.0941] % DEVANAGARI VOWEL SIGN U : Goes after :  DEVANAGARI VOWEL SIGN II
0942 ; [.0B88.0020.0002.0942] % DEVANAGARI VOWEL SIGN UU : Goes after :  DEVANAGARI VOWEL SIGN U
0943 ; [.0B89.0020.0002.0943] % DEVANAGARI VOWEL SIGN VOCALIC R : Goes after :  DEVANAGARI VOWEL SIGN UU
0944 ; [.0B8A.0020.0002.0944] % DEVANAGARI VOWEL SIGN VOCALIC RR : Goes after :  DEVANAGARI VOWEL SIGN VOCALIC R
0962 ; [.0B8B.0020.0002.0962] % DEVANAGARI VOWEL SIGN VOCALIC L : Goes after :  DEVANAGARI VOWEL SIGN VOCALIC RR
0963 ; [.0B8C.0020.0002.0963] % DEVANAGARI VOWEL SIGN VOCALIC LL : Goes after :  DEVANAGARI VOWEL SIGN VOCALIC L
0945 ; [.0B8D.0020.0002.0945] % DEVANAGARI VOWEL SIGN CANDRA E : Goes after :  DEVANAGARI VOWEL SIGN VOCALIC LL
0946 ; [.0B8E.0020.0002.0946] % DEVANAGARI VOWEL SIGN SHORT E : Goes after :  DEVANAGARI VOWEL SIGN CANDRA E
0947 ; [.0B8F.0020.0002.0947] % DEVANAGARI VOWEL SIGN E : Goes after :  DEVANAGARI VOWEL SIGN SHORT E
0948 ; [.0B90.0020.0002.0948] % DEVANAGARI VOWEL SIGN AI : Goes after :  DEVANAGARI VOWEL SIGN E
0949 ; [.0B91.0020.0002.0949] % DEVANAGARI VOWEL SIGN CANDRA O : Goes after :  DEVANAGARI VOWEL SIGN AI
094A ; [.0B92.0020.0002.094A] % DEVANAGARI VOWEL SIGN SHORT O : Goes after :  DEVANAGARI VOWEL SIGN CANDRA O
094B ; [.0B93.0020.0002.094B] % DEVANAGARI VOWEL SIGN O : Goes after :  DEVANAGARI VOWEL SIGN SHORT O
094C ; [.0B94.0020.0002.094C] % DEVANAGARI VOWEL SIGN AU : Goes after :  DEVANAGARI VOWEL SIGN O
094A ; [.0B97.0020.0002.094A] % DEVANAGARI VOWEL SIGN SHORT O : Goes after :  DEVANAGARI VOWEL SIGN AU
094B ; [.0B98.0020.0002.094B] % DEVANAGARI VOWEL SIGN O : Goes after :  DEVANAGARI VOWEL SIGN SHORT O
094C ; [.0B99.0020.0002.094C] % DEVANAGARI VOWEL SIGN AU : Goes after :  DEVANAGARI VOWEL SIGN O
094D ; [.0B9A.0020.0002.094D] % DEVANAGARI SIGN VIRAMA : Goes after :  DEVANAGARI VOWEL SIGN AU
0964 ; [.0B9B.0020.0002.0964] % DEVANAGARI DANDA : Goes after :  DEVANAGARI SIGN VIRAMA
